['258'],584,588,588,585,520,473,473,469,469,492,492,498,498
['259'],586,704,704,627,562,490,490,484,484,523,523,564,564
['260'],489,669,669,618,585,566,566,558,558,584,584,529,529
['261'],398,653,653,688,627,592,592,598,598,612,612,613,613
['262'],399,722,722,611,618,599,599,641,641,604,604,606,606
['263'],400,665,665,442,652,666,666,663,663,715,715,715,715
['264'],400,518,518,482,613,571,571,532,532,518,518,518,518
['265'],398,527,527,498,442,431,431,472,472,489,489,489,489
['266'],299,548,548,676,482,459,459,494,494,466,466,467,467
['267'],397,666,666,662,500,446,446,514,514,529,529,511,511
['268'],396,832,832,782,678,637,637,604,604,736,736,728,728
['269'],396,806,806,806,694,717,717,632,632,707,707,718,718
['270'],481,795,795,1226,807,752,752,696,696,712,712,748,748
['271'],487,795,795,1199,817,771,771,810,810,774,774,769,769
['272'],448,1254,1254,1207,1226,1176,1176,1167,1167,1146,1146,1174,1174
['273'],496,1165,1165,681,1165,1196,1196,1201,1201,1196,1196,1196,1196
['274'],499,1213,1213,1255,1193,1211,1211,1206,1206,1236,1236,1236,1236
['275'],497,710,710,1385,678,670,670,694,694,638,638,638,638
['276'],493,1274,1274,1330,1255,1305,1305,1300,1300,1311,1311,1311,1311
['277'],486,1445,1445,1144,1387,1411,1411,1404,1404,1419,1419,1419,1419
['278'],394,1397,1397,1337,1329,1384,1384,1367,1367,1371,1371,1369,1369
['279'],398,1221,1221,1309,1144,1154,1154,1125,1125,1136,1136,1140,1140
['280'],398,1431,1431,1449,1338,1347,1347,1340,1340,1342,1342,1369,1369
['281'],396,1397,1397,1298,1309,1260,1260,1238,1238,1284,1284,1376,1376
['282'],360,1474,1474,1064,1441,1475,1475,1478,1478,1468,1468,1468,1468
['283'],385,1284,1284,1276,1275,1312,1312,1311,1311,1307,1307,1307,1307
['284'],380,1056,1056,741,1052,1038,1038,1034,1034,1042,1042,1042,1042
['285'],285,1287,1287,1090,1279,1274,1274,1262,1262,1264,1264,1269,1269
['286'],33,735,735,1095,738,756,756,740,740,696,696,696,696
['287'],174,1091,1091,1088,1090,1066,1066,1073,1073,1073,1073,1073,1073
['288'],123,1093,1093,1084,1095,1086,1086,1081,1081,1084,1084,1081,1081
['289'],180,1078,1078,1084,1087,1072,1072,1082,1082,1075,1075,1071,1071
['290'],174,1077,1077,1113,1083,1066,1066,1064,1064,1058,1058,1069,1069
['291'],119,1077,1077,1092,1084,1070,1070,1076,1076,1067,1067,1073,1073
['292'],100,1118,1118,1080,1113,1119,1119,1108,1108,1090,1090,1090,1090
['293'],0,1090,1090,1078,1093,1051,1051,1056,1056,1051,1051,1051,1051
['294'],196,1069,1069,877,1080,1078,1078,1077,1077,1076,1076,1076,1076
['295'],111,1069,1069,753,1078,1071,1071,1069,1069,1078,1078,1077,1077
['296'],251,880,880,881,877,872,872,874,874,875,875,876,876
['297'],294,792,792,822,753,678,678,710,710,703,703,703,703
['298'],248,884,884,784,881,879,879,880,880,877,877,877,877
['299'],226,864,864,768,822,821,821,831,831,829,829,829,829
['300'],193,787,787,751,784,785,785,784,784,779,779,779,779
['301'],178,778,778,690,768,758,758,764,764,761,761,759,759
['302'],162,760,760,684,751,752,752,749,749,753,753,747,747
['303'],99,688,688,641,690,686,686,688,688,682,682,688,688
['304'],108,683,683,741,684,677,677,676,676,672,672,669,669
['305'],78,664,664,580,641,641,641,655,655,654,654,643,643
['306'],144,762,762,886,741,751,751,752,752,739,739,742,742
['307'],69,563,563,504,580,588,588,602,602,588,588,604,604
['308'],96,906,906,510,893,895,895,863,863,883,883,883,883
['309'],45,499,499,459,504,507,507,501,501,508,508,508,508
['310'],113,521,521,396,510,491,491,507,507,502,502,502,502
['311'],178,478,478,397,459,447,447,458,458,450,450,451,451
['312'],196,397,397,300,395,393,393,396,396,394,394,394,394
['313'],194,398,398,299,397,396,396,395,395,396,396,395,395
['314'],194,300,300,299,300,299,299,299,299,299,299,299,299
['315'],198,300,300,294,299,298,298,299,299,300,300,300,300
