['225'],629,167,167,191
['226'],604,185,185,186
['227'],741,135,135,187
['228'],839,116,116,156
['229'],686,116,116,137
['230'],685,107,107,109
['231'],1059,156,156,126
['232'],1033,114,114,73
['233'],1078,114,114,79
['234'],1226,51,51,29
['235'],1252,677,677,682
['236'],1160,55,55,96
['237'],1135,141,141,160
['238'],1086,174,174,187
['239'],1070,189,189,167
['240'],983,196,196,189
['241'],981,199,199,196
['242'],1057,198,198,193
['243'],1025,198,198,197
['244'],993,195,195,197
['245'],672,560,560,552
['246'],301,462,462,478
['247'],480,439,439,443
['248'],497,290,290,344
['249'],729,416,416,433
['250'],834,527,527,487
['251'],768,479,479,486
['252'],736,343,343,337
['253'],712,624,624,606
['254'],687,406,406,420
['255'],687,504,504,413
['256'],691,529,529,489
['257'],716,517,517,465
['258'],584,588,588,498
['259'],586,704,704,564
['260'],489,669,669,529
['261'],398,653,653,613
['262'],399,722,722,606
['263'],400,665,665,715
['264'],400,518,518,518
['265'],398,527,527,489
['266'],299,548,548,467
['267'],397,666,666,511
['268'],396,832,832,728
['269'],396,806,806,718
['270'],481,795,795,748
['271'],487,795,795,769
['272'],448,1254,1254,1174
['273'],496,1165,1165,1196
['274'],499,1213,1213,1236
['275'],497,710,710,638
['276'],493,1274,1274,1311
['277'],486,1445,1445,1419
['278'],394,1397,1397,1369
['279'],398,1221,1221,1140
['280'],398,1431,1431,1369
['281'],396,1397,1397,1376
['282'],360,1474,1474,1468
['283'],385,1284,1284,1307
['284'],380,1056,1056,1042
['285'],285,1287,1287,1269
['286'],33,735,735,696
['287'],174,1091,1091,1073
['288'],123,1093,1093,1081
['289'],180,1078,1078,1071
['290'],174,1077,1077,1069
['291'],119,1077,1077,1073
['292'],100,1118,1118,1090
['293'],0,1090,1090,1051
['294'],196,1069,1069,1076
['295'],111,1069,1069,1077
['296'],251,880,880,876
['297'],294,792,792,703
['298'],248,884,884,877
['299'],226,864,864,829
['300'],193,787,787,779
['301'],178,778,778,759
['302'],162,760,760,747
['303'],99,688,688,688
['304'],108,683,683,669
['305'],78,664,664,643
